# Potential/V C_mF/cm^2
-0.3000 0.3859
-0.3000 0.3624
-0.2988 0.3600
-0.2930 0.4000
-0.2930 0.3600
-0.2907 0.3553
-0.2907 0.3506
-0.2895 0.3482
-0.2849 0.4000
-0.2837 0.3482
-0.2814 0.3435
-0.2814 0.3388
-0.2802 0.3906
-0.2802 0.3365
-0.2779 0.3906
-0.2767 0.3882
-0.2744 0.3882
-0.2733 0.3859
-0.2733 0.3812
-0.2733 0.3365
-0.2721 0.3788
-0.2721 0.3341
-0.2721 0.3271
-0.2709 0.3247
-0.2698 0.3788
-0.2686 0.3765
-0.2663 0.3671
-0.2663 0.3765
-0.2651 0.3647
-0.2651 0.3247
-0.2628 0.3176
-0.2628 0.3200
-0.2616 0.3153
-0.2616 0.3129
-0.2558 0.3647
-0.2547 0.3576
-0.2547 0.3624
-0.2547 0.3129
-0.2535 0.3106
-0.2535 0.3059
-0.2535 0.3553
-0.2523 0.3035
-0.2488 0.3553
-0.2488 0.3459
-0.2477 0.3435
-0.2465 0.3035
-0.2442 0.2941
-0.2442 0.2988
-0.2430 0.2918
-0.2395 0.3435
-0.2384 0.3341
-0.2384 0.3412
-0.2372 0.3318
-0.2372 0.2918
-0.2349 0.2871
-0.2349 0.2847
-0.2337 0.2824
-0.2337 0.2800
-0.2314 0.3271
-0.2314 0.3318
-0.2302 0.3247
-0.2267 0.2800
-0.2256 0.2729
-0.2256 0.2776
-0.2221 0.3247
-0.2209 0.3224
-0.2198 0.3153
-0.2198 0.3224
-0.2186 0.3129
-0.2174 0.2729
-0.2163 0.2706
-0.2163 0.2659
-0.2151 0.2635
-0.2105 0.3129
-0.2093 0.3106
-0.2081 0.2635
-0.2081 0.3106
-0.2081 0.3082
-0.2070 0.3059
-0.2070 0.2588
-0.2070 0.2612
-0.2058 0.2565
-0.2035 0.3059
-0.2023 0.2965
-0.2023 0.3035
-0.2012 0.2941
-0.1988 0.2565
-0.1977 0.2494
-0.1977 0.2541
-0.1953 0.2424
-0.1953 0.2447
-0.1930 0.2941
-0.1919 0.2894
-0.1919 0.2918
-0.1907 0.2871
-0.1895 0.2424
-0.1884 0.2400
-0.1884 0.2376
-0.1872 0.2353
-0.1849 0.2871
-0.1837 0.2847
-0.1826 0.2824
-0.1826 0.2847
-0.1802 0.2776
-0.1802 0.2353
-0.1779 0.2306
-0.1756 0.2776
-0.1744 0.2753
-0.1733 0.2706
-0.1733 0.2753
-0.1721 0.2682
-0.1721 0.2306
-0.1698 0.2259
-0.1698 0.2235
-0.1674 0.2188
-0.1651 0.2682
-0.1640 0.2659
-0.1640 0.2635
-0.1628 0.2612
-0.1616 0.2188
-0.1593 0.2141
-0.1570 0.2612
-0.1558 0.2565
-0.1558 0.2588
-0.1547 0.2541
-0.1535 0.2141
-0.1477 0.2541
-0.1477 0.2494
-0.1477 0.2024
-0.1465 0.2471
-0.1419 0.2024
-0.1407 0.2000
-0.1372 0.2471
-0.1372 0.2424
-0.1360 0.2400
-0.1337 0.2000
-0.1326 0.1953
-0.1326 0.1976
-0.1314 0.1929
-0.1279 0.2353
-0.1279 0.2400
-0.1267 0.2329
-0.1244 0.1929
-0.1233 0.1882
-0.1233 0.1906
-0.1221 0.2329
-0.1209 0.1835
-0.1186 0.2259
-0.1151 0.1835
-0.1140 0.1812
-0.1128 0.1812
-0.1105 0.2259
-0.1105 0.2235
-0.1105 0.1765
-0.1081 0.2188
-0.1047 0.1765
-0.1035 0.1741
-0.1012 0.2188
-0.1012 0.2165
-0.1000 0.2141
-0.0965 0.1741
-0.0930 0.2141
-0.0919 0.1647
-0.0895 0.2071
-0.0860 0.1647
-0.0849 0.1624
-0.0826 0.2071
-0.0826 0.2024
-0.0814 0.2000
-0.0791 0.1624
-0.0779 0.1600
-0.0767 0.1600
-0.0744 0.2000
-0.0744 0.1976
-0.0733 0.1953
-0.0733 0.1529
-0.0686 0.1953
-0.0674 0.1529
-0.0674 0.1976
-0.0651 0.1482
-0.0628 0.1976
-0.0616 0.1929
-0.0616 0.1953
-0.0605 0.1906
-0.0570 0.1482
-0.0558 0.1459
-0.0558 0.1435
-0.0547 0.1906
-0.0547 0.1859
-0.0535 0.1835
-0.0500 0.1435
-0.0465 0.1835
-0.0465 0.1812
-0.0465 0.1365
-0.0453 0.1788
-0.0395 0.1365
-0.0372 0.1788
-0.0360 0.1294
-0.0360 0.1741
-0.0360 0.1765
-0.0349 0.1718
-0.0291 0.1294
-0.0267 0.1718
-0.0267 0.1247
-0.0244 0.1671
-0.0198 0.1247
-0.0174 0.1200
-0.0174 0.1176
-0.0163 0.1647
-0.0163 0.1671
-0.0140 0.1600
-0.0105 0.1176
-0.0081 0.1600
-0.0081 0.1129
-0.0058 0.1553
-0.0012 0.1129
0.0012 0.1529
0.0012 0.1553
0.0012 0.1082
0.0012 0.1059
0.0023 0.1506
0.0081 0.1059
0.0105 0.1012
0.0116 0.1506
0.0116 0.1459
0.0128 0.1435
0.0174 0.1012
0.0186 0.0965
0.0186 0.0988
0.0198 0.1412
0.0198 0.1435
0.0209 0.1388
0.0244 0.0965
0.0279 0.0894
0.0291 0.0894
0.0302 0.0871
0.0302 0.1388
0.0302 0.1318
0.0314 0.1294
0.0349 0.0871
0.0372 0.0824
0.0395 0.1294
0.0407 0.1271
0.0407 0.1247
0.0419 0.1224
0.0442 0.0824
0.0465 0.0753
0.0465 0.0776
0.0488 0.1224
0.0488 0.1200
0.0500 0.1176
0.0523 0.0753
0.0547 0.1176
0.0558 0.1153
0.0558 0.0682
0.0570 0.1153
0.0593 0.1106
0.0628 0.0682
0.0663 0.0612
0.0663 0.1106
0.0674 0.1059
0.0674 0.1082
0.0686 0.1035
0.0733 0.0612
0.0756 0.0565
0.0756 0.0541
0.0756 0.1035
0.0779 0.0988
0.0791 0.0988
0.0802 0.0965
0.0826 0.0541
0.0849 0.0494
0.0860 0.0965
0.0872 0.0941
0.0919 0.0494
0.0919 0.0941
0.0930 0.0918
0.0942 0.0918
0.0942 0.0447
0.0942 0.0894
0.0953 0.0871
0.1012 0.0447
0.1023 0.0424
0.1023 0.0847
0.1023 0.0871
0.1035 0.0424
0.1035 0.0824
0.1047 0.0400
0.1116 0.0400
0.1128 0.0376
0.1128 0.0824
0.1140 0.0800
0.1198 0.0376
0.1198 0.0800
0.1221 0.0329
0.1221 0.0753
0.1302 0.0753
0.1302 0.0329
0.1314 0.0729
0.1314 0.0306
0.1395 0.0306
0.1395 0.0729
0.1407 0.0282
0.1407 0.0706
0.1419 0.0282
0.1430 0.0259
0.1488 0.0706
0.1500 0.0682
0.1558 0.0659
0.1558 0.0682
0.1570 0.0635
0.1581 0.0259
0.1605 0.0212
0.1756 0.0635
0.1767 0.0612
0.1849 0.0612
0.1860 0.0212
0.1860 0.0588
0.1872 0.0188
0.1884 0.0188
0.1895 0.0165
0.2047 0.0588
0.2058 0.0165
0.2058 0.0565
0.2070 0.0141
0.2326 0.0565
0.2337 0.0541
0.2430 0.0141
0.2442 0.0118
0.2535 0.0118
0.2547 0.0094
0.2581 0.0541
0.2593 0.0518
0.2965 0.0518
0.2977 0.0494
0.3000 0.0094
0.3012 0.0071
0.3058 0.0071
0.3070 0.0094
0.3186 0.0094
0.3198 0.0071
0.3198 0.0494
0.3209 0.0518
0.3256 0.0518
0.3267 0.0494
0.3453 0.0494
0.3465 0.0471
0.3651 0.0471
0.3663 0.0494
0.3744 0.0071
0.3756 0.0047
0.3802 0.0047
0.3814 0.0071
0.3895 0.0494
0.3907 0.0471
0.3930 0.0071
0.3942 0.0047
0.4174 0.0047
0.4186 0.0071
0.4279 0.0471
0.4291 0.0447
0.4395 0.0071
0.4407 0.0047
0.4407 0.0447
0.4419 0.0471
0.4779 0.0047
0.4791 0.0024
0.4791 0.0471
0.4802 0.0494
0.4802 0.0024
0.4814 0.0494
0.4814 0.0000
0.4826 0.0518
0.4919 0.0000
0.4919 0.0518
0.4930 0.0024
0.4930 0.0494
0.4942 0.0024
0.4942 0.0494
0.4953 0.0047
0.4965 0.0071
0.4965 0.0047
0.4977 0.0400
0.4977 0.0424
0.4988 0.0141
0.4988 0.0353
0.4988 0.0376
0.4988 0.0118
0.5000 0.0165
0.5000 0.0329
